gender,co_city,Industry,ifdisc,DiscTypesMeet,resType,disc_think,DiscThinkTypes,4.Please select the specific category in which your job falls within the finance industry (请选择您的工作在金融行业中的具体类别),5.Please select the specific category in which your job falls within the Internet industry (请选择您的工作在互联网行业中的具体类别),Finance_type,Internet_type
female,Beijing,Finance,No,,Ask for help,Yes,"Gender, Education, Health",B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
female,Shanghai,Internet,No,,No action,No,,,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
female,Beijing,Internet,Yes,Gender,Other,No,,,E.产品类（产品经理、产品助理、产品运营等）,,E
male,Hangzhou,Internet,No,,Other,Unsure,,,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
male,Hangzhou,Internet,No,,Other,Unsure,,,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
male,Shanghai,Finance,Yes,"Age, Health",No action,Yes,"Gender, Education",B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
male,Hangzhou,Finance,No,,Ask for help,Yes,"Age, Education",B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
male,Shenzhen,Internet,Yes,"Age, Education, Health",No action,Yes,"Gender, Education",,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
female,Guangzhou,Internet,Yes,Age ,No action,Yes,"Gender, Education",,E.产品类（产品经理、产品助理、产品运营等）,,E
female,Shenzhen,Finance,No,,Other,Unsure,,A.投资类（投资经理、风控、催收、证券、交易员、期货、操盘手、基金、股票、投资顾问、信托、典当、担保、权证等）,,A,
male,Shanghai,Internet,Yes,"Gender, Age, Health",No action,Yes,"Gender, Education",,E.产品类（产品经理、产品助理、产品运营等）,,E
male,Hangzhou,Internet,No,,No action,Yes,Education,,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
male,Hangzhou,Internet,No,,Ask for help,Unsure,,,B.设计类（UI设计师、美工等）,,B
female,Shenzhen,Internet,Yes,Gender,No action,Yes,"Gender, Education, Health",,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
male,Shenzhen,Internet,Yes,Gender,No action,Yes,"Gender, Age",,D.工程类（电气工程师、电子工程师、PLC测试工程师、设备工程师、硬件工程师、结构工程师、工艺工程师等）,,D
male,Shenzhen,Finance,Yes,Age ,Ask for help,Yes,"Age, Health",B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
male,Shanghai,Finance,No,,Ask for help,Yes,"Age, Education, Health",C.保险类（财产保险、保险内勤、理赔、精算师、保险销售、理财顾问、查勘定损、车险等）,,C,
male,Beijing,Finance,Yes,Age ,Ask for help,No,,A.投资类（投资经理、风控、催收、证券、交易员、期货、操盘手、基金、股票、投资顾问、信托、典当、担保、权证等）,,A,
male,Shenzhen,Finance,No,,Ask for help,Unsure,,C.保险类（财产保险、保险内勤、理赔、精算师、保险销售、理财顾问、查勘定损、车险等）,,C,
